REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION,GHCO00I00X,GHCO2,1,2015,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2016,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2017,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2018,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2019,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2020,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2021,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2022,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2023,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2024,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2025,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2026,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2027,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2028,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2029,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2030,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2031,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2032,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2033,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2034,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2035,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2036,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2037,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2038,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2039,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2040,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2041,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2042,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2043,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2044,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2045,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2046,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2047,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2048,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2049,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2050,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2051,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2052,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2053,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2054,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2055,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2056,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2057,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2058,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2059,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2060,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2061,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2062,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2063,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2064,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2065,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2066,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2067,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2068,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2069,0.09037436264629972
REGION,GHCO00I00X,GHCO2,1,2070,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2015,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2016,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2017,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2018,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2019,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2020,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2021,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2022,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2023,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2024,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2025,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2026,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2027,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2028,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2029,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2030,0.09037436264629972
REGION,GHCO00X00X,GHCO2,1,2031,0.09037436264629972
