REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION,GHBACKSTOP,1,2015,999999.0
REGION,GHBACKSTOP,1,2016,999999.0
REGION,GHBACKSTOP,1,2017,999999.0
REGION,GHBACKSTOP,1,2018,999999.0
REGION,GHBACKSTOP,1,2019,999999.0
REGION,GHBACKSTOP,1,2020,999999.0
REGION,GHBACKSTOP,1,2021,999999.0
REGION,GHBACKSTOP,1,2022,999999.0
REGION,GHBACKSTOP,1,2023,999999.0
REGION,GHBACKSTOP,1,2024,999999.0
REGION,GHBACKSTOP,1,2025,999999.0
REGION,GHBACKSTOP,1,2026,999999.0
REGION,GHBACKSTOP,1,2027,999999.0
REGION,GHBACKSTOP,1,2028,999999.0
REGION,GHBACKSTOP,1,2029,999999.0
REGION,GHBACKSTOP,1,2030,999999.0
REGION,GHBACKSTOP,1,2031,999999.0
REGION,GHBACKSTOP,1,2032,999999.0
REGION,GHBACKSTOP,1,2033,999999.0
REGION,GHBACKSTOP,1,2034,999999.0
REGION,GHBACKSTOP,1,2035,999999.0
REGION,GHBACKSTOP,1,2036,999999.0
REGION,GHBACKSTOP,1,2037,999999.0
REGION,GHBACKSTOP,1,2038,999999.0
REGION,GHBACKSTOP,1,2039,999999.0
REGION,GHBACKSTOP,1,2040,999999.0
REGION,GHBACKSTOP,1,2041,999999.0
REGION,GHBACKSTOP,1,2042,999999.0
REGION,GHBACKSTOP,1,2043,999999.0
REGION,GHBACKSTOP,1,2044,999999.0
REGION,GHBACKSTOP,1,2045,999999.0
REGION,GHBACKSTOP,1,2046,999999.0
REGION,GHBACKSTOP,1,2047,999999.0
REGION,GHBACKSTOP,1,2048,999999.0
REGION,GHBACKSTOP,1,2049,999999.0
REGION,GHBACKSTOP,1,2050,999999.0
REGION,GHBACKSTOP,1,2051,999999.0
REGION,GHBACKSTOP,1,2052,999999.0
REGION,GHBACKSTOP,1,2053,999999.0
REGION,GHBACKSTOP,1,2054,999999.0
REGION,GHBACKSTOP,1,2055,999999.0
REGION,GHBACKSTOP,1,2056,999999.0
REGION,GHBACKSTOP,1,2057,999999.0
REGION,GHBACKSTOP,1,2058,999999.0
REGION,GHBACKSTOP,1,2059,999999.0
REGION,GHBACKSTOP,1,2060,999999.0
REGION,GHBACKSTOP,1,2061,999999.0
REGION,GHBACKSTOP,1,2062,999999.0
REGION,GHBACKSTOP,1,2063,999999.0
REGION,GHBACKSTOP,1,2064,999999.0
REGION,GHBACKSTOP,1,2065,999999.0
REGION,GHBACKSTOP,1,2066,999999.0
REGION,GHBACKSTOP,1,2067,999999.0
REGION,GHBACKSTOP,1,2068,999999.0
REGION,GHBACKSTOP,1,2069,999999.0
REGION,GHBACKSTOP,1,2070,999999.0
REGION,GHCRUDPROX,1,2015,0.717753985945416
REGION,GHCRUDPROX,1,2016,0.717753985945416
REGION,GHCRUDPROX,1,2017,0.717753985945416
REGION,GHCRUDPROX,1,2018,0.717753985945416
REGION,GHCRUDPROX,1,2019,0.717753985945416
REGION,GHCRUDPROX,1,2020,0.717753985945416
REGION,GHCRUDPROX,1,2021,0.717753985945416
REGION,GHCRUDPROX,1,2022,0.717753985945416
REGION,GHCRUDPROX,1,2023,0.717753985945416
REGION,GHCRUDPROX,1,2024,0.717753985945416
REGION,GHCRUDPROX,1,2025,0.717753985945416
REGION,GHCRUDPROX,1,2026,0.717753985945416
REGION,GHCRUDPROX,1,2027,0.717753985945416
REGION,GHCRUDPROX,1,2028,0.717753985945416
REGION,GHCRUDPROX,1,2029,0.717753985945416
REGION,GHCRUDPROX,1,2030,0.717753985945416
REGION,GHCRUDPROX,1,2031,0.717753985945416
REGION,GHCRUDPROX,1,2032,0.717753985945416
REGION,GHCRUDPROX,1,2033,0.717753985945416
