VALUE
BFEL01
BJEL01
CIEL01
MLEL01
TGEL01
GHDUNG
GHDULG
GHCRU1
GHCRU2
GHBIOM
GHCOAL
GHLFOI
GHGASF
GHHFOI
GHSOLA
GHWIND
GHURAN
GHCHAR
GHWAT1
GHWAT2
GHEL01
GHHE2X
GHEL02
GHFW3X
GHHE3X
GHEL03
GHHF3X
GHLF3X
GHCH3X
GHGA3X
GHCO3X
GHBO3X
GHCR3X
GHETHA
GHDUEL
GHGASP
