REGION,FUEL,YEAR,VALUE
REGION,GHFW3X,2015,101.42360000000001
REGION,GHFW3X,2016,101.28099
REGION,GHFW3X,2017,176.0541654338461
REGION,GHFW3X,2018,250.8273408676922
REGION,GHFW3X,2019,325.6005163015383
REGION,GHFW3X,2020,400.37369173538434
REGION,GHFW3X,2021,404.8498074631596
REGION,GHFW3X,2022,409.25456240195376
REGION,GHFW3X,2023,413.59719198134695
REGION,GHFW3X,2024,417.88571926492443
REGION,GHFW3X,2025,422.1271199300173
REGION,GHFW3X,2026,425.9366149533396
REGION,GHFW3X,2027,429.718764938579
REGION,GHFW3X,2028,433.48154485699916
REGION,GHFW3X,2029,437.23275231601343
REGION,GHFW3X,2030,440.97869101946134
REGION,GHFW3X,2031,435.61267516626793
REGION,GHFW3X,2032,430.61624835426113
REGION,GHFW3X,2033,425.93773167827374
REGION,GHFW3X,2034,421.5350394879584
REGION,GHFW3X,2035,430.5726268411303
REGION,GHFW3X,2036,428.7750381084182
REGION,GHFW3X,2037,426.98298110138256
REGION,GHFW3X,2038,425.1961582409045
REGION,GHFW3X,2039,423.41395568510325
REGION,GHFW3X,2040,421.6359002012669
REGION,GHFW3X,2041,418.07001899728095
REGION,GHFW3X,2042,414.53186978208436
REGION,GHFW3X,2043,411.020593568497
REGION,GHFW3X,2044,407.5353202089059
REGION,GHFW3X,2045,404.0755257382489
REGION,GHFW3X,2046,400.6992519408027
REGION,GHFW3X,2047,397.3437319214024
REGION,GHFW3X,2048,394.00941576218594
REGION,GHFW3X,2049,390.69679531709744
REGION,GHFW3X,2050,387.4063640797305
REGION,GHFW3X,2051,384.0187117441652
REGION,GHFW3X,2052,380.6588847530791
REGION,GHFW3X,2053,377.32716993952306
REGION,GHFW3X,2054,374.02399134383205
REGION,GHFW3X,2055,370.7496132090499
REGION,GHFW3X,2056,367.50416245343825
REGION,GHFW3X,2057,364.28781566967706
REGION,GHFW3X,2058,361.10093522633395
REGION,GHFW3X,2059,357.9439810595369
REGION,GHFW3X,2060,354.81718691898925
REGION,GHFW3X,2061,351.5942972724981
REGION,GHFW3X,2062,348.40368037140274
REGION,GHFW3X,2063,345.24542665721003
REGION,GHFW3X,2064,342.11964260756605
REGION,GHFW3X,2065,339.02624097365003
REGION,GHFW3X,2066,335.9649781324308
REGION,GHFW3X,2067,332.9354780271269
REGION,GHFW3X,2068,329.9375081640849
REGION,GHFW3X,2069,326.9707777689635
REGION,GHFW3X,2070,324.03495482518895
REGION,GHHE3X,2015,0.0
REGION,GHHE3X,2016,0.0
REGION,GHHE3X,2017,0.0
REGION,GHHE3X,2018,0.0
REGION,GHHE3X,2019,0.0
REGION,GHHE3X,2020,0.0
REGION,GHHE3X,2021,0.0
REGION,GHHE3X,2022,0.0
REGION,GHHE3X,2023,0.0
REGION,GHHE3X,2024,0.0
REGION,GHHE3X,2025,0.0
REGION,GHHE3X,2026,0.0
REGION,GHHE3X,2027,0.0
REGION,GHHE3X,2028,0.0
REGION,GHHE3X,2029,0.0
REGION,GHHE3X,2030,0.0
REGION,GHHE3X,2031,0.0
REGION,GHHE3X,2032,0.0
REGION,GHHE3X,2033,0.0
REGION,GHHE3X,2034,0.0
REGION,GHHE3X,2035,0.0
REGION,GHHE3X,2036,0.0
REGION,GHHE3X,2037,0.0
REGION,GHHE3X,2038,0.0
REGION,GHHE3X,2039,0.0
REGION,GHHE3X,2040,0.0
REGION,GHHE3X,2041,0.0
REGION,GHHE3X,2042,0.0
REGION,GHHE3X,2043,0.0
REGION,GHHE3X,2044,0.0
REGION,GHHE3X,2045,0.0
REGION,GHHE3X,2046,0.0
REGION,GHHE3X,2047,0.0
REGION,GHHE3X,2048,0.0
REGION,GHHE3X,2049,0.0
REGION,GHHE3X,2050,0.0
REGION,GHHE3X,2051,0.0
REGION,GHHE3X,2052,0.0
REGION,GHHE3X,2053,0.0
REGION,GHHE3X,2054,0.0
REGION,GHHE3X,2055,0.0
REGION,GHHE3X,2056,0.0
REGION,GHHE3X,2057,0.0
REGION,GHHE3X,2058,0.0
REGION,GHHE3X,2059,0.0
REGION,GHHE3X,2060,0.0
REGION,GHHE3X,2061,0.0
REGION,GHHE3X,2062,0.0
REGION,GHHE3X,2063,0.0
REGION,GHHE3X,2064,0.0
REGION,GHHE3X,2065,0.0
REGION,GHHE3X,2066,0.0
REGION,GHHE3X,2067,0.0
REGION,GHHE3X,2068,0.0
REGION,GHHE3X,2069,0.0
REGION,GHHE3X,2070,0.0
REGION,GHHF3X,2015,1.5753680999999915
REGION,GHHF3X,2016,1.481297799999993
REGION,GHHF3X,2017,1.3698356506909874
REGION,GHHF3X,2018,1.2583735013819677
REGION,GHHF3X,2019,1.146911352072948
REGION,GHHF3X,2020,1.0354492027639282
REGION,GHHF3X,2021,1.073602876956457
REGION,GHHF3X,2022,1.112832301719692
REGION,GHHF3X,2023,1.1531883311187272
REGION,GHHF3X,2024,1.1947214239444293
REGION,GHHF3X,2025,1.2374818571754957
REGION,GHHF3X,2026,1.2803450444660456
REGION,GHHF3X,2027,1.324502653476486
REGION,GHHF3X,2028,1.370015845941623
REGION,GHHF3X,2029,1.4169487050852752
REGION,GHHF3X,2030,1.465363973263436
REGION,GHHF3X,2031,1.497128517744585
REGION,GHHF3X,2032,1.530663255472433
REGION,GHHF3X,2033,1.56590722006257
REGION,GHHF3X,2034,1.6028181893518934
REGION,GHHF3X,2035,1.6932756663974544
REGION,GHHF3X,2036,1.7439796535300047
REGION,GHHF3X,2037,1.796193637242368
REGION,GHHF3X,2038,1.8499610703748885
REGION,GHHF3X,2039,1.905325126207373
REGION,GHHF3X,2040,1.9623306047103029
REGION,GHHF3X,2041,2.005944304500815
REGION,GHHF3X,2042,2.05051534054914
REGION,GHHF3X,2043,2.0960610630546626
REGION,GHHF3X,2044,2.142598780871026
REGION,GHHF3X,2045,2.1901476652179497
REGION,GHHF3X,2046,2.2390543367006615
REGION,GHHF3X,2047,2.2890101519267034
REGION,GHHF3X,2048,2.3400395829659146
REGION,GHHF3X,2049,2.392168147498637
REGION,GHHF3X,2050,2.445422231732522
REGION,GHHF3X,2051,2.4873548433949395
REGION,GHHF3X,2052,2.5299945412434113
REGION,GHHF3X,2053,2.5733564413581576
REGION,GHHF3X,2054,2.6174571556282444
REGION,GHHF3X,2055,2.6623128093634136
REGION,GHHF3X,2056,2.707939089701256
REGION,GHHF3X,2057,2.7543525537541313
REGION,GHHF3X,2058,2.801571754316342
REGION,GHHF3X,2059,2.8496167500661045
REGION,GHHF3X,2060,2.8985065973664064
REGION,GHHF3X,2061,2.9384508634388453
REGION,GHHF3X,2062,2.978971238616964
REGION,GHHF3X,2063,3.0200802008177448
REGION,GHHF3X,2064,3.0617908240003544
REGION,GHHF3X,2065,3.1041148930360123
REGION,GHHF3X,2066,3.1470630693642647
REGION,GHHF3X,2067,3.1906449632043064
REGION,GHHF3X,2068,3.234871697522294
REGION,GHHF3X,2069,3.279754043460457
REGION,GHHF3X,2070,3.325302532662988
REGION,GHLF3X,2015,155.9614419
REGION,GHLF3X,2016,146.64848220000002
REGION,GHLF3X,2017,135.61372941840716
REGION,GHLF3X,2018,124.5789766368143
REGION,GHLF3X,2019,113.54422385522145
REGION,GHLF3X,2020,102.5094710736286
REGION,GHLF3X,2021,106.28668481868947
REGION,GHLF3X,2022,110.17039787024925
REGION,GHLF3X,2023,114.16564478075371
REGION,GHLF3X,2024,118.27742097049884
REGION,GHLF3X,2025,122.5107038603739
REGION,GHLF3X,2026,126.75415940213882
REGION,GHLF3X,2027,131.12576269417147
REGION,GHLF3X,2028,135.63156874822158
REGION,GHLF3X,2029,140.2779218034426
REGION,GHLF3X,2030,145.07103335307923
REGION,GHLF3X,2031,148.21572325671335
REGION,GHLF3X,2032,151.53566229177176
REGION,GHLF3X,2033,155.02481478619399
REGION,GHLF3X,2034,158.67900074583648
REGION,GHLF3X,2035,167.6342909733492
REGION,GHLF3X,2036,172.6539856994705
REGION,GHLF3X,2037,177.82317008699408
REGION,GHLF3X,2038,183.14614596711272
REGION,GHLF3X,2039,188.62718749453023
REGION,GHLF3X,2040,194.27072986631958
REGION,GHLF3X,2041,198.5884861455813
REGION,GHLF3X,2042,203.00101871436496
REGION,GHLF3X,2043,207.51004524241037
REGION,GHLF3X,2044,212.1172793062305
REGION,GHLF3X,2045,216.82461885657722
REGION,GHLF3X,2046,221.66637933336486
REGION,GHLF3X,2047,226.6120050407425
REGION,GHLF3X,2048,231.66391871362524
REGION,GHLF3X,2049,236.82464660236386
REGION,GHLF3X,2050,242.09680094151943
REGION,GHLF3X,2051,246.24812949609907
REGION,GHLF3X,2052,250.46945958309675
REGION,GHLF3X,2053,254.7622876944571
REGION,GHLF3X,2054,259.1282584071978
REGION,GHLF3X,2055,263.5689681269753
REGION,GHLF3X,2056,268.08596988042683
REGION,GHLF3X,2057,272.68090282165707
REGION,GHLF3X,2058,277.35560367731995
REGION,GHLF3X,2059,282.11205825654685
REGION,GHLF3X,2060,286.952153139273
REGION,GHLF3X,2061,290.9066354804482
REGION,GHLF3X,2062,294.9181526230812
REGION,GHLF3X,2063,298.98793988095684
REGION,GHLF3X,2064,303.11729157603554
REGION,GHLF3X,2065,307.30737441056385
REGION,GHLF3X,2066,311.55924386706357
REGION,GHLF3X,2067,315.8738513572273
REGION,GHLF3X,2068,320.25229805470633
REGION,GHLF3X,2069,324.69565030258684
REGION,GHLF3X,2070,329.20495073363617
REGION,GHCH3X,2015,0.0
REGION,GHCH3X,2016,0.0
REGION,GHCH3X,2017,0.0
REGION,GHCH3X,2018,0.0
REGION,GHCH3X,2019,0.0
REGION,GHCH3X,2020,0.0
REGION,GHCH3X,2021,0.0
REGION,GHCH3X,2022,0.0
REGION,GHCH3X,2023,0.0
REGION,GHCH3X,2024,0.0
REGION,GHCH3X,2025,0.0
REGION,GHCH3X,2026,0.0
REGION,GHCH3X,2027,0.0
REGION,GHCH3X,2028,0.0
REGION,GHCH3X,2029,0.0
